pais,emissor,denominacao,assunto,krause,ano,marca,graduacao,valor_brl,composicao,peso_metal_g,derretimento_brl,foto_anverso,foto_reverso,nota,serie
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Boxe",KM# 724,2016,Sem marca da casa da moeda,AU,6.8,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004885-32882779755.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004883-856976180554.webp,,Minhas Moedas
Brasil,Brasil,1 real,Centenário do nascimento de Juscelino Kubitschek de Oliveira,KM# 656,2002,Sem marca da casa da moeda,AU,18.45,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004858-9216099865351.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004857-281032746250.webp,,Minhas Moedas
Brasil,Brasil,1 real,XXXI Jogos Olímpicos de Verão - Rio de Janeiro 2016 - Voleibol,KM# 709,2015,Sem marca da casa da moeda,AU,7.05,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004838-7749257847.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004836-170474292446.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XV Jogos Paralímpicos de Verão, Rio de Janeiro 2016 - Canoagem paralímpica",KM# 706,2015,Sem marca da casa da moeda,AU,6.49,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004751-1466842822443.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004749-789514858942.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Natação",KM# 688,2014,Sem marca da casa da moeda,AU,7,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004707-4657269519039.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004706-11669133038.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XV Jogos Paralímpicos de Verão, Rio de Janeiro 2016 - Mascote paralímpico Tom",KM# 727,2016,Sem marca da casa da moeda,AU,6.34,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004662-656972701335.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004661-14716186234.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Atletismo",KM# 687,2014,Sem marca da casa da moeda,AU,6.44,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004619-511203348431.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004617-9550672827930.webp,,Minhas Moedas
Brasil,Brasil,1 real,50º Aniversário - Banco Central,KM# 723,2015,Sem marca da casa da moeda,AU,7.31,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004577-429332215127.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004575-870981628726.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Vela",KM# 705,2015,Sem marca da casa da moeda,AU,7.87,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004554-22585104423.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004552-602675331122.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Golfe",KM# 690,2014,Sem marca da casa da moeda,AU,7.16,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004527-83885339119.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004526-119104880618.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XV Jogos Paralímpicos de Verão, Rio de Janeiro 2016 - Atletismo paralímpico",KM# 710,2015,Sem marca da casa da moeda,AU,6.34,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004507-127118683615.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004505-628382555814.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XV Jogos Paralímpicos de Verão, Rio de Janeiro 2016 - Atletismo paralímpico",KM# 710,2015,Sem marca da casa da moeda,AU,6.34,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004482-766326576411.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004481-488322220210.webp,,Minhas Moedas
Brasil,Brasil,50 cruzeiros reais,Séries comuns,KM# 629,1993,Sem marca da casa da moeda,AU,4.04,Aço inoxidável,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004449-10786673337.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004447-7236047376.webp,,Minhas Moedas
Brasil,Brasil,10 cruzeiros,Séries comuns,KM# 572,1965,Sem marca da casa da moeda,AU,5.52,Alumínio,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004423-85878351093.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004421-378265995212.webp,,Minhas Moedas
Hungria,Hungria,100 florins,Séries comuns,KM# 721,1996,BP,XF,2.15,"Bimetálica: centro de Aço com revestimento de Latão, anel de Aço inoxidável",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783999117-420753114939.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783999116-087282193438.webp,,Minhas Moedas
Brasil,Brasil,100 reis,Séries comuns,KM# 492,1889,Sem marca da casa da moeda,AU,10.94,Cupro-Níquel,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783999089-695262637135.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783999087-8399448638234.webp,,Minhas Moedas
Brasil,Brasil,1 real,40 anos do Banco Central,KM# 668,2005,Sem marca da casa da moeda,AU,17.07,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783999006-929837922531.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783999005-4716191477730.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Natação",KM# 688,2014,Sem marca da casa da moeda,AU,7,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783998969-025281995627.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783998967-7064319673026.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Golfe",KM# 690,2014,Sem marca da casa da moeda,AU,7.16,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783998931-584382540923.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783998929-835986198422.webp,,Minhas Moedas
Brasil,Brasil,1 real,Séries comuns,KM# 652,1998,Sem marca da casa da moeda,AU,6.24,"Bimetálica: centro de Cupro-Níquel, anel de Latão",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783998890-009708767319.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783998888-6895409422318.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Atletismo",KM# 687,2014,Sem marca da casa da moeda,AU,6.44,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783998855-989125811315.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783998854-129736221614.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Basquete",KM# 704,2015,Sem marca da casa da moeda,AU,7.56,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783998827-2874079790211.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783998824-304682848610.webp,,Minhas Moedas
Brasil,Brasil,1 real,50º Aniversário da Declaração dos Direitos Humanos,KM# 653,1998,Sem marca da casa da moeda,XF,240.24,"Bimetálica: centro de Cupro-Níquel, anel de Latão",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783998691-116469968997.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783998689-23933683796.webp,,Minhas Moedas
Alemanha,Alemanha - Terceiro Reich,2 reichsmark,Séries comuns,KM# 93,1937,A,XF,58.42,Prata 0.625,5,47.79,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783998661-93216096383.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783998659-82466964262.webp,,Minhas Moedas
Brasil,Brasil,200 reis,Séries comuns,KM# 519,1920,Sem marca da casa da moeda,VF,6.39,Cupro-Níquel,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783914054-811499482059.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783914052-351682965158.webp,,Minhas Moedas
Brasil,Brasil,300 reis,Séries comuns,KM# 538,1937,Sem marca da casa da moeda,XF,5.78,Cupro-Níquel,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783914031-221129285655.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783914029-787036745653.webp,,Minhas Moedas
Brasil,Brasil,400 reis,Séries comuns,KM# 505,1901,Sem marca da casa da moeda,F,10.68,Cupro-Níquel,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913998-5296888970251.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913996-7190452520050.webp,,Minhas Moedas
Rússia,Rússia,1 Rublo da Sorte,,,,Felicidade e Saúde,UNC,17.89,Metal de base banhado a prata,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913845-760171334047.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913842-91550968946.webp,,Minhas Moedas
Cuba,Cuba,5 centavos,Séries comuns,KM# 34,1968,Sem marca da casa da moeda,VF,2.25,Alumínio,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913780-591358786243.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913777-957042478042.webp,,Minhas Moedas
Japão,Japão,5 ienes,Séries comuns,,1972,Sem marca da casa da moeda,AU,1.28,Latão,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913720-2738008352939.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913717-164357964737.webp,,Minhas Moedas
Brasil,Brasil,400 reis,Séries comuns,KM# 505,1901,Sem marca da casa da moeda,VG,10.68,Cupro-Níquel,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913598-3055883935.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913595-81531685534.webp,,Minhas Moedas
Suíça,Suíça,2 francos,Série comum,,1994,B,AU,13.14,Cupro-Níquel,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913554-80966315631.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913552-580906568230.webp,,Minhas Moedas
Brasil,Brasil,25 centavos,50º Aniversário da FAO - Alimentos para o Mundo,KM# 642,1995,Sem marca da casa da moeda,XF,57.25,Aço inoxidável,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913529-848599935227.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913518-916301614726.webp,,Minhas Moedas
Canadá,Canadá,10 cêntimos,Séries comuns,KM# 492,2007,folha,AU,1.89,Aço com revestimento de Níquel,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913443-152432731723.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913441-330144986322.webp,,Minhas Moedas
Canadá,Canadá,5 cêntimos,Séries comuns,,2007,folha,AU,1.07,Aço com revestimento de Níquel,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913420-0794802994519.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913418-62503757818.webp,,Minhas Moedas
Canadá,Canadá,1 dólar,Séries comuns,KM# 495,2007,Sem marca da casa da moeda,AU,7.62,Níquel com revestimento de Bronze,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913400-3048902346615.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913398-988493470714.webp,,Minhas Moedas
Canadá,Canadá,1 cêntimo,Séries comuns,,2007,Folha Copper plated Steel,XF,0.82,Aço com revestimento de Cobre,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913377-97024765611.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913375-947794100910.webp,,Minhas Moedas
Brasil,Brasil,1 real,Séries comuns,KM# 636,1994,Sem marca da casa da moeda,AU,2.76,Aço inoxidável,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913166-95317419817.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913165-5554930986.webp,,Minhas Moedas
Colômbia,Colômbia,500 pesos,Séries comuns,KM# 286,2008,Sem marca da casa da moeda,XF,2.4,"Bimetálica: centro de Alumínio-Bronze, anel de Cupro-Níquel",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783913129-58211725643.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783913125-91824644542.webp,,Minhas Moedas
Brasil,Brasil,400 reis,Séries comuns,KM# 539,1937,Sem marca da casa da moeda,AG,18.86,Cupro-Níquel,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783911117-9886189765291.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783911116-495655413190.webp,,Minhas Moedas
Brasil,Brasil,1000 reis,Séries comuns,KM# 525,1927,Sem marca da casa da moeda,P,7.77,Alumínio-Bronze,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783911077-63769613787.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783911075-993464964986.webp,,Minhas Moedas
Brasil,Brasil,1 real,"Entrega da bandeira olímpica, Rio 2016",KM# 679,2012,Sem marca da casa da moeda,XF,124.67,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783910876-407364813783.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783910874-971029516382.webp,,Minhas Moedas
Brasil,Brasil,1 real,50º Aniversário da Declaração dos Direitos Humanos,KM# 653,1998,Sem marca da casa da moeda,XF,240.24,"Bimetálica: centro de Cupro-Níquel, anel de Latão",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783910660-495924468375.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783910658-176344638474.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XV Jogos Paralímpicos de Verão, Rio de Janeiro 2016 - Mascote paralímpico Tom",KM# 727,2016,Sem marca da casa da moeda,AU,6.34,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1783910470-257607617167.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1783910468-298984819866.webp,,Minhas Moedas
