chave,fitid,data,descricao,valor,tipo,parcela
6a67f5e9-2bb6-4986-a783-108fd2703f3f:-94.79,6a67f5e9-2bb6-4986-a783-108fd2703f3f,2026-07-29,Ifd*Olga Ri Alimentos,"-94,79",DEBIT,
6a68abff-f3b6-483e-a27e-a536da5408f7:-4,6a68abff-f3b6-483e-a27e-a536da5408f7,2026-07-29,Vieverte,-4,DEBIT,
6a6894aa-db45-46d6-a16e-e246f5421e10:-64.98,6a6894aa-db45-46d6-a16e-e246f5421e10,2026-07-28,Uber - NuPay,"-64,98",DEBIT,
6a677e46-1b88-4f29-8968-fe49da3aea45:-48.43,6a677e46-1b88-4f29-8968-fe49da3aea45,2026-07-28,Trentino Restaurante,"-48,43",DEBIT,
6a67b7bf-696b-4574-8609-c80de7f70b93:-12,6a67b7bf-696b-4574-8609-c80de7f70b93,2026-07-28,Vieverte,-12,DEBIT,
6a674475-e832-493a-b42b-d0416a3b1700:-48.99,6a674475-e832-493a-b42b-d0416a3b1700,2026-07-27,Uber - NuPay,"-48,99",DEBIT,
69ff586f-5665-469e-854a-1ec9c990a77b:-49.99,69ff586f-5665-469e-854a-1ec9c990a77b,2026-07-27,C Pernambucanas Lj - Parcela 4/6,"-49,99",DEBIT,4/6
6a660a2e-289c-48b0-a31f-c65962d4a182:-116.88,6a660a2e-289c-48b0-a31f-c65962d4a182,2026-07-27,Auto Posto A B,"-116,88",DEBIT,
6a6630f0-7fea-4fa0-979f-4dd1a7140201:-11.98,6a6630f0-7fea-4fa0-979f-4dd1a7140201,2026-07-27,Drg Comercio de Sorvet,"-11,98",DEBIT,
6a6678e0-d224-4401-bf65-dd2d02e0bd9e:-163.13,6a6678e0-d224-4401-bf65-dd2d02e0bd9e,2026-07-27,Carrefour 358 Sbk,"-163,13",DEBIT,
6a6555b7-f17a-435b-aa90-c1dddf22b5a5:-89.72,6a6555b7-f17a-435b-aa90-c1dddf22b5a5,2026-07-27,Ifd*Papila Restaurante,"-89,72",DEBIT,
