ticker,data,decisao,mes,ano,lancamento,categoria,valor,moeda
KNCR11.SA,2025-02-13,DIvidendo,fev/25,2025,DIvidendo,Fii,107,BRL
KNCR11.SA,2025-01-14,DIvidendo,jan/25,2025,DIvidendo,Fii,100,BRL
KNCR11.SA,2024-12-12,DIvidendo,dez/24,2024,DIvidendo,Fii,95,BRL
KNCR11.SA,2024-11-13,DIvidendo,nov/24,2024,DIvidendo,Fii,102,BRL
KNCR11.SA,2024-10-11,DIvidendo,out/24,2024,JUROS S/ CAPITAL,Fii,95,BRL
KNCR11.SA,2024-09-12,DIvidendo,set/24,2024,DIvidendo,Fii,95,BRL
KNCR11.SA,2024-08-13,DIvidendo,ago/24,2024,DIvidendo,Fii,95,BRL
KNCR11.SA,2024-07-11,DIvidendo,jul/24,2024,DIvidendo,Fii,100,BRL
KNCR11.SA,2024-06-13,DIvidendo,jun/24,2024,DIvidendo,Fii,100,BRL
KNCR11.SA,2024-05-14,DIvidendo,mai/24,2024,DIvidendo,Fii,100,BRL
KNCR11.SA,2024-04-11,DIvidendo,abr/24,2024,DIvidendo,Fii,95,BRL
KNCR11.SA,2024-03-13,DIvidendo,mar/24,2024,DIvidendo,Fii,95,BRL
KNCR11.SA,2024-02-15,DIvidendo,fev/24,2024,DIvidendo,Fii,107,BRL
KNCR11.SA,2024-01-12,DIvidendo,jan/24,2024,DIvidendo,Fii,101,BRL
KNCR11.SA,2023-12-13,DIvidendo,dez/23,2023,DIvidendo,Fii,101,BRL
KNCR11.SA,2023-11-14,DIvidendo,nov/23,2023,DIvidendo,Fii,111,BRL
KNCR11.SA,2023-10-13,DIvidendo,out/23,2023,DIvidendo,Fii,110,BRL
KNCR11.SA,2023-09-14,DIvidendo,set/23,2023,DIvidendo,Fii,120,BRL
KNCR11.SA,2023-08-11,DIvidendo,ago/23,2023,DIvidendo,Fii,115,BRL
GOOGL,2025-09-15,Dividendo,set/25,2025,DIvidendo,Ação Internacional,"1,47",USD
GOOGL,2025-09-15,IMPOSTO,set/25,2025,IMPOSTO,Ação Internacional,"-0,44",USD
GOOGL,2026-06-15,Dividendo,jun./26,2026,Dividendo,Ação Internacional,"1,54",USD
GOOGL,2026-06-15,IMPOSTO,jun./26,2026,IMPOSTO,Ação Internacional,"0,46",USD
IBKR,2026-03-13,IMPOSTO,mar/26,2026,IMPOSTO,Ação Internacional,"-0,19",USD
IBKR,2026-03-13,Dividendo,mar/26,2026,Dividendo,Ação Internacional,"0,64",USD
IBKR,2025-12-12,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-0,19",USD
IBKR,2025-12-12,Dividendo,dez/25,2025,DIvidendo,Ação Internacional,"0,64",USD
IBKR,2025-09-12,Dividendo,set/25,2025,DIvidendo,Ação Internacional,"0,64",USD
IBKR,2025-09-12,IMPOSTO,set/25,2025,IMPOSTO,Ação Internacional,"-0,19",USD
IBKR,2025-06-13,Dividendo,jun/25,2025,DIvidendo,Ação Internacional,"0,64",USD
IBKR,2025-06-13,IMPOSTO,jun/25,2025,IMPOSTO,Ação Internacional,"-0,19",USD
IBKR,2026-06-12,IMPOSTO,jun./26,2026,IMPOSTO,Ação Internacional,"0,21",USD
IBKR,2026-06-12,Dividendo,jun./26,2026,Dividendo,Ação Internacional,"0,7",USD
KO,2026-04-01,IMPOSTO,abr/26,2026,IMPOSTO,Ação Internacional,"-2,39",USD
KO,2026-04-01,Dividendo,abr/26,2026,Dividendo,Ação Internacional,"7,95",USD
KO,2025-12-15,DIvidendo,dez/25,2025,DIvidendo,Ação Internacional,"4,08",USD
KO,2025-12-15,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-1,07",USD
KO,2025-12-15,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-1,22",USD
KO,2025-12-15,DIvidendo,dez/25,2025,DIvidendo,Ação Internacional,"3,57",USD
KO,2025-10-01,DIvidendo,out/25,2025,DIvidendo,Ação Internacional,"4,08",USD
KO,2025-10-01,IMPOSTO,out/25,2025,IMPOSTO,Ação Internacional,"-1,22",USD
KO,2025-10-01,IMPOSTO,out/25,2025,IMPOSTO,Ação Internacional,"-1,07",USD
KO,2025-10-01,DIvidendo,out/25,2025,DIvidendo,Ação Internacional,"3,57",USD
KO,2025-07-01,DIvidendo,jul/25,2025,DIvidendo,Ação Internacional,"3,57",USD
KO,2025-07-01,DIvidendo,jul/25,2025,DIvidendo,Ação Internacional,"4,08",USD
KO,2025-07-01,IMPOSTO,jul/25,2025,IMPOSTO,Ação Internacional,"-1,07",USD
KO,2025-07-01,IMPOSTO,jul/25,2025,IMPOSTO,Ação Internacional,"-1,22",USD
KO,2025-04-01,IMPOSTO,abr/25,2025,IMPOSTO,Ação Internacional,"-1,07",USD
KO,2025-04-01,IMPOSTO,abr/25,2025,IMPOSTO,Ação Internacional,"-1,22",USD
KO,2025-04-01,DIvidendo,abr/25,2025,DIvidendo,Ação Internacional,"3,57",USD
KO,2025-04-01,DIvidendo,abr/25,2025,DIvidendo,Ação Internacional,"4,08",USD
KO,2024-12-16,IMPOSTO,dez/24,2024,IMPOSTO,Ação Internacional,"-1,02",USD
KO,2024-12-16,DIvidendo,dez/24,2024,DIvidendo,Ação Internacional,"3,4",USD
KO,2024-10-01,DIvidendo,out/24,2024,DIvidendo,Ação Internacional,"3,4",USD
KO,2024-10-01,IMPOSTO,out/24,2024,IMPOSTO,Ação Internacional,"-1,02",USD
KO,2024-07-01,IMPOSTO,jul/24,2024,IMPOSTO,Ação Internacional,"-1,07",USD
KO,2024-07-01,DIvidendo,jul/24,2024,DIvidendo,Ação Internacional,"3,4",USD
KO,46204,IMPOSTO,46229,2026,IMPOSTO,Ação Internacional,"2,39",USD
KO,46204,Dividendo,46229,2026,Dividendo,Ação Internacional,"7,95",USD
META,2026-03-26,Dividendo,mar/26,2026,Dividendo,Ação Internacional,"1,58",USD
META,2026-03-26,IMPOSTO,mar/26,2026,IMPOSTO,Ação Internacional,"-0,47",USD
META,2025-12-23,Dividendo,dez/25,2025,DIvidendo,Ação Internacional,"1,05",USD
META,2025-12-23,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-0,32",USD
META,2025-09-29,Dividendo,set/25,2025,DIvidendo,Ação Internacional,"1,05",USD
META,2025-09-29,IMPOSTO,set/25,2025,IMPOSTO,Ação Internacional,"-0,32",USD
META,2025-06-26,Dividendo,jun/25,2025,DIvidendo,Ação Internacional,"1,05",USD
META,2025-06-26,IMPOSTO,jun/25,2025,IMPOSTO,Ação Internacional,"-0,32",USD
META,2026-06-25,Dividendo,jun./26,2026,Dividendo,Ação Internacional,"1,58",USD
META,2026-06-25,IMPOSTO,jun./26,2026,IMPOSTO,Ação Internacional,"0,47",USD
MSFT,2026-03-12,Dividendo,mar/26,2026,Dividendo,Ação Internacional,"4,55",USD
