chave,type_id,titulo,url,confianca,faixa_anos,ano_suspeito,atualizado_em
brasil|1 real|2015|km# 710,75275,1 Real (Olympic Games Rio 2016 - Paralympic Athletics),https://pt.numista.com/75275,km,2015,0,2026-08-15T01:07:49.739Z
brasil|50 cruzeiros reais|1993|km# 629,14154,50 Cruzeiros Reais,https://pt.numista.com/14154,km,1993–1994,0,2026-08-15T01:07:49.873Z
brasil|10 cruzeiros|1965|km# 572,9369,10 Cruzeiros,https://pt.numista.com/9369,km,1965,0,2026-08-15T01:07:50.007Z
hungria|100 florins|1996|km# 721,807,100 Forint,https://pt.numista.com/807,km,1996–2011,0,2026-08-15T01:07:50.172Z
brasil|100 reis|1889|km# 492,15321,100 Réis,https://pt.numista.com/15321,km,1889–1900,0,2026-08-15T01:07:50.315Z
brasil|1 real|1998|km# 653,11096,1 Real (Human Rights),https://pt.numista.com/11096,km,1998,0,2026-08-15T01:07:50.596Z
alemanha|2 reichsmark|1937|km# 93,3416,2 Reichsmark (Paul von Hindenburg),https://pt.numista.com/3416,km,1936–1939,0,2026-08-15T01:07:50.742Z
brasil|200 reis|1920|km# 519,4334,200 Réis,https://pt.numista.com/4334,km,1918–1935,0,2026-08-15T01:07:51.818Z
brasil|300 reis|1937|km# 538,2250,300 Réis (Carlos Gomes),https://pt.numista.com/2250,km,1936–1938,0,2026-08-15T01:07:51.949Z
russia|1 rublo da sorte||,,,,nenhuma,,0,2026-08-15T01:07:51.984Z
cuba|5 centavos|1968|km# 34,2855,5 Centavos (Patria y Libertad),https://pt.numista.com/2855,km,1963–2015,0,2026-08-15T01:07:52.058Z
japao|5 ienes|1972|,929,5 Yen - Shōwa (Gothic style),https://pt.numista.com/929,pais-ano,1959–1989,0,2026-08-15T01:07:52.125Z
suica|2 francos|1994|,189,2 Francs (Helvetia standing; copper-nickel),https://pt.numista.com/189,pais-ano,1968–2026,0,2026-08-15T01:07:52.300Z
brasil|25 centavos|1995|km# 642,11095,25 Centavos (FAO),https://pt.numista.com/11095,km,1995,0,2026-08-15T01:07:52.440Z
canada|10 centimos|2007|km# 492,377365,10 Cents - Elizabeth II (4th portrait),https://pt.numista.com/377365,km,2003–2006,1,2026-08-15T01:07:53.686Z
canada|5 centimos|2007|,,,,nenhuma,,0,2026-08-15T01:07:53.791Z
canada|1 dolar|2007|km# 495,377647,1 Dollar - Elizabeth II (4th portrait),https://pt.numista.com/377647,km,2003–2006,1,2026-08-15T01:07:53.926Z
canada|1 centimo|2007|,,,,nenhuma,,0,2026-08-15T01:07:53.995Z
colombia|500 pesos|2008|km# 286,2432,500 Pesos,https://pt.numista.com/2432,km,1993–2012,0,2026-08-15T01:07:54.166Z
